player_id,full_name,team_name,position,season,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
552640,Andrew Kittredge,Baltimore Orioles,Pitcher,2025,17,0.0,19,15,10,2,2,2,18,6,0,19,0,.268,71,.325,.437,.762,0,3,1.000,0,278,4.76,17.0,1.0,1.0,0.0,0.0,4.0,0.0,9.0,1.47,77.0,51.0,17.0,0.0,0.0,186.0,.670,0.0,0.0,1.0,0.0,31,1.27,.500,16.35,5.0,3.00,9.53,3.18,10.06,5.29,1.06,3.0,1.0,0,0,0,,,,,
687064,Brandon Young,Baltimore Orioles,Pitcher,2025,3,3.0,13,11,10,6,0,2,11,9,0,16,0,.320,50,.417,.560,.977,0,0,.---,1,237,7.11,12.2,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.97,60.0,38.0,3.0,0.0,0.0,142.0,.600,0.0,0.0,0.0,1.0,28,1.18,.000,18.71,0.0,1.22,7.82,6.39,11.37,7.11,1.42,0.0,0.0,0,0,1,,,,,
641329,Bryan Baker,Baltimore Orioles,Pitcher,2025,39,0.0,25,32,13,3,2,6,46,8,0,29,0,.220,132,.264,.409,.673,1,2,.667,4,563,2.72,36.1,3.0,2.0,2.0,5.0,9.0,3.0,11.0,1.02,140.0,109.0,39.0,0.0,0.0,375.0,.670,0.0,0.0,1.0,0.0,54,0.78,.600,15.50,7.0,5.75,11.39,1.98,7.18,3.22,1.49,18.0,2.0,0,0,0,,,,,
656775,Cedric Mullins,Baltimore Orioles,Outfielder,2025,68,,39,88,33,12,0,12,69,27,0,52,2,.212,245,.293,.408,.701,2,8,.800,2,1177,,,,,,,,,,,,,,,,,,,,,,100,0.44,,,,,,,,,,,,0,1,2,277.0,39.0,110.0,.241,20.42
644433,Chadwick Tromp,Baltimore Orioles,Catcher,2025,8,,5,7,2,1,0,1,6,1,0,3,0,.143,21,.182,.333,.515,0,0,.---,1,69,,,,,,,,,,,,,,,,,,,,,,7,0.71,,,,,,,,,,,,0,0,0,22.0,1.0,14.0,.143,21.00
450203,Charlie Morton,Baltimore Orioles,Pitcher,2025,18,12.0,65,68,47,11,2,10,77,34,0,79,6,.280,282,.364,.440,.804,0,6,1.000,5,1300,5.63,72.0,4.0,7.0,0.0,0.0,0.0,0.0,45.0,1.57,330.0,216.0,18.0,0.0,0.0,817.0,.630,6.0,1.0,1.0,3.0,124,0.96,.364,18.06,1.0,2.26,9.63,4.25,9.88,5.88,1.25,3.0,0.0,1,2,5,,,,,
691723,Coby Mayo,Baltimore Orioles,First Base,2025,23,,16,21,7,5,0,1,19,5,0,16,0,.222,72,.273,.333,.606,0,1,1.000,1,292,,,,,,,,,,,,,,,,,,,,,,24,0.76,,,,,,,,,,,,0,0,0,77.0,9.0,37.0,.288,72.00
681297,Colton Cowser,Baltimore Orioles,Outfielder,2025,26,,25,18,13,6,0,7,31,5,0,22,4,.229,96,.295,.510,.805,0,1,1.000,1,411,,,,,,,,,,,,,,,,,,,,,,49,1.39,,,,,,,,,,,,0,0,0,105.0,15.0,37.0,.259,13.71
665152,Dean Kremer,Baltimore Orioles,Pitcher,2025,17,16.0,89,115,48,20,2,12,78,25,0,100,1,.263,380,.309,.421,.730,0,4,1.000,7,1551,4.27,97.0,7.0,7.0,0.0,0.0,0.0,0.0,46.0,1.29,408.0,291.0,17.0,0.0,0.0,1028.0,.660,1.0,0.0,5.0,0.0,160,0.77,.500,15.99,0.0,3.12,7.24,2.32,9.28,4.45,1.11,0.0,0.0,0,0,2,,,,,
656896,Emmanuel Rivera,Baltimore Orioles,Third Base,2025,27,,20,22,3,3,0,0,12,6,0,16,1,.229,70,.299,.271,.570,0,1,1.000,3,305,,,,,,,,,,,,,,,,,,,,,,19,0.91,,,,,,,,,,,,0,0,0,77.0,3.0,29.0,.276,-.--
